Date,Milk_Production,Year,Month,Rolling_Avg,Growth_%
1962-01-01,589.0,1962,1,,
1962-02-01,561.0,1962,2,,-4.753820033955858
1962-03-01,640.0,1962,3,,14.081996434937615
1962-04-01,656.0,1962,4,,2.499999999999991
1962-05-01,727.0,1962,5,,10.823170731707311
1962-06-01,697.0,1962,6,,-4.1265474552957375
1962-07-01,640.0,1962,7,,-8.177905308464851
1962-08-01,599.0,1962,8,,-6.406250000000002
1962-09-01,568.0,1962,9,,-5.175292153589317
1962-10-01,577.0,1962,10,,1.5845070422535246
1962-11-01,553.0,1962,11,,-4.159445407279028
1962-12-01,582.0,1962,12,615.75,5.244122965641962
1963-01-01,600.0,1963,1,616.6666666666666,3.092783505154628
1963-02-01,566.0,1963,2,617.0833333333334,-5.666666666666664
1963-03-01,653.0,1963,3,618.1666666666666,15.371024734982331
1963-04-01,673.0,1963,4,619.5833333333334,3.0627871362940207
1963-05-01,742.0,1963,5,620.8333333333334,10.252600297176828
1963-06-01,716.0,1963,6,622.4166666666666,-3.5040431266846306
1963-07-01,660.0,1963,7,624.0833333333334,-7.8212290502793325
1963-08-01,617.0,1963,8,625.5833333333334,-6.515151515151518
1963-09-01,583.0,1963,9,626.8333333333334,-5.510534846029169
1963-10-01,587.0,1963,10,627.6666666666666,0.6861063464836947
1963-11-01,565.0,1963,11,628.6666666666666,-3.747870528109032
1963-12-01,598.0,1963,12,630.0,5.840707964601766
1964-01-01,628.0,1964,1,632.3333333333334,5.0167224080267525
1964-02-01,618.0,1964,2,636.6666666666666,-1.5923566878980888
1964-03-01,688.0,1964,3,639.5833333333334,11.326860841423958
1964-04-01,705.0,1964,4,642.25,2.470930232558133
1964-05-01,770.0,1964,5,644.5833333333334,9.219858156028371
1964-06-01,736.0,1964,6,646.25,-4.4155844155844175
1964-07-01,678.0,1964,7,647.75,-7.880434782608692
1964-08-01,639.0,1964,8,649.5833333333334,-5.752212389380529
1964-09-01,604.0,1964,9,651.3333333333334,-5.477308294209704
1964-10-01,611.0,1964,10,653.3333333333334,1.1589403973509826
1964-11-01,594.0,1964,11,655.75,-2.782324058919805
1964-12-01,634.0,1964,12,658.75,6.734006734006726
1965-01-01,658.0,1965,1,661.25,3.785488958990535
1965-02-01,622.0,1965,2,661.5833333333334,-5.4711246200607855
1965-03-01,709.0,1965,3,663.3333333333334,13.9871382636656
1965-04-01,722.0,1965,4,664.75,1.833568406205921
1965-05-01,782.0,1965,5,665.75,8.310249307479234
1965-06-01,756.0,1965,6,667.4166666666666,-3.324808184143224
1965-07-01,702.0,1965,7,669.4166666666666,-7.14285714285714
1965-08-01,653.0,1965,8,670.5833333333334,-6.980056980056981
1965-09-01,615.0,1965,9,671.5,-5.819295558958649
1965-10-01,621.0,1965,10,672.3333333333334,0.9756097560975618
1965-11-01,602.0,1965,11,673.0,-3.059581320450888
1965-12-01,635.0,1965,12,673.0833333333334,5.481727574750828
1966-01-01,677.0,1966,1,674.6666666666666,6.614173228346454
1966-02-01,635.0,1966,2,675.75,-6.20384047267356
1966-03-01,736.0,1966,3,678.0,15.90551181102362
1966-04-01,755.0,1966,4,680.75,2.5815217391304435
1966-05-01,811.0,1966,5,683.1666666666666,7.4172185430463555
1966-06-01,798.0,1966,6,686.6666666666666,-1.602959309494456
1966-07-01,735.0,1966,7,689.4166666666666,-7.8947368421052655
1966-08-01,697.0,1966,8,693.0833333333334,-5.170068027210883
1966-09-01,661.0,1966,9,696.9166666666666,-5.164992826398851
1966-10-01,667.0,1966,10,700.75,0.9077155824508409
1966-11-01,645.0,1966,11,704.3333333333334,-3.2983508245877036
1966-12-01,688.0,1966,12,708.75,6.666666666666665
1967-01-01,713.0,1967,1,711.75,3.6337209302325535
1967-02-01,667.0,1967,2,714.4166666666666,-6.451612903225811
1967-03-01,762.0,1967,3,716.5833333333334,14.24287856071964
1967-04-01,784.0,1967,4,719.0,2.8871391076115582
1967-05-01,837.0,1967,5,721.1666666666666,6.760204081632648
1967-06-01,817.0,1967,6,722.75,-2.389486260453999
1967-07-01,767.0,1967,7,725.4166666666666,-6.11995104039168
1967-08-01,722.0,1967,8,727.5,-5.867014341590615
1967-09-01,681.0,1967,9,729.1666666666666,-5.678670360110805
1967-10-01,687.0,1967,10,730.8333333333334,0.8810572687224738
1967-11-01,660.0,1967,11,732.0833333333334,-3.9301310043668103
1967-12-01,698.0,1967,12,732.9166666666666,5.757575757575761
1968-01-01,717.0,1968,1,733.25,2.7220630372492893
1968-02-01,696.0,1968,2,735.6666666666666,-2.9288702928870314
1968-03-01,775.0,1968,3,736.75,11.350574712643668
1968-04-01,796.0,1968,4,737.75,2.709677419354839
1968-05-01,858.0,1968,5,739.5,7.788944723618085
1968-06-01,826.0,1968,6,740.25,-3.7296037296037254
1968-07-01,783.0,1968,7,741.5833333333334,-5.205811138014527
1968-08-01,740.0,1968,8,743.0833333333334,-5.4916985951468655
1968-09-01,701.0,1968,9,744.75,-5.270270270270272
1968-10-01,706.0,1968,10,746.3333333333334,0.7132667617689048
1968-11-01,677.0,1968,11,747.75,-4.107648725212465
1968-12-01,711.0,1968,12,748.8333333333334,5.022156573116687
1969-01-01,734.0,1969,1,750.25,3.234880450070321
1969-02-01,690.0,1969,2,749.75,-5.994550408719346
1969-03-01,785.0,1969,3,750.5833333333334,13.768115942028981
1969-04-01,805.0,1969,4,751.3333333333334,2.547770700636942
1969-05-01,871.0,1969,5,752.4166666666666,8.198757763975163
1969-06-01,845.0,1969,6,754.0,-2.985074626865669
1969-07-01,801.0,1969,7,755.5,-5.2071005917159745
1969-08-01,764.0,1969,8,757.5,-4.619225967540574
1969-09-01,725.0,1969,9,759.5,-5.104712041884818
1969-10-01,723.0,1969,10,760.9166666666666,-0.27586206896551557
1969-11-01,690.0,1969,11,762.0,-4.56431535269709
1969-12-01,734.0,1969,12,763.9166666666666,6.376811594202891
1970-01-01,750.0,1970,1,765.25,2.1798365122615904
1970-02-01,707.0,1970,2,766.6666666666666,-5.733333333333334
1970-03-01,807.0,1970,3,768.5,14.144271570014144
1970-04-01,824.0,1970,4,770.0833333333334,2.106567534076831
1970-05-01,886.0,1970,5,771.3333333333334,7.524271844660202
1970-06-01,859.0,1970,6,772.5,-3.0474040632054167
1970-07-01,819.0,1970,7,774.0,-4.656577415599539
1970-08-01,783.0,1970,8,775.5833333333334,-4.395604395604391
1970-09-01,740.0,1970,9,776.8333333333334,-5.4916985951468655
1970-10-01,747.0,1970,10,778.8333333333334,0.9459459459459474
1970-11-01,711.0,1970,11,780.5833333333334,-4.81927710843374
1970-12-01,751.0,1970,12,782.0,5.625879043600568
1971-01-01,804.0,1971,1,786.5,7.057256990679095
1971-02-01,756.0,1971,2,790.5833333333334,-5.970149253731338
1971-03-01,860.0,1971,3,795.0,13.756613756613767
1971-04-01,878.0,1971,4,799.5,2.0930232558139528
1971-05-01,942.0,1971,5,804.1666666666666,7.289293849658307
1971-06-01,913.0,1971,6,808.6666666666666,-3.0785562632696384
1971-07-01,869.0,1971,7,812.8333333333334,-4.81927710843374
1971-08-01,834.0,1971,8,817.0833333333334,-4.027617951668583
1971-09-01,790.0,1971,9,821.25,-5.275779376498802
1971-10-01,800.0,1971,10,825.6666666666666,1.2658227848101333
1971-11-01,763.0,1971,11,830.0,-4.625000000000002
1971-12-01,800.0,1971,12,834.0833333333334,4.849279161205766
1972-01-01,826.0,1972,1,835.9166666666666,3.2499999999999973
1972-02-01,799.0,1972,2,839.5,-3.2687651331719136
1972-03-01,890.0,1972,3,842.0,11.389236545682113
1972-04-01,900.0,1972,4,843.8333333333334,1.1235955056179803
1972-05-01,961.0,1972,5,845.4166666666666,6.7777777777777715
1972-06-01,935.0,1972,6,847.25,-2.7055150884495283
1972-07-01,894.0,1972,7,849.3333333333334,-4.385026737967912
1972-08-01,855.0,1972,8,851.0833333333334,-4.36241610738255
1972-09-01,809.0,1972,9,852.6666666666666,-5.380116959064329
1972-10-01,810.0,1972,10,853.5,0.12360939431397266
1972-11-01,766.0,1972,11,853.75,-5.432098765432103
1972-12-01,805.0,1972,12,854.1666666666666,5.0913838120104415
1973-01-01,821.0,1973,1,853.75,1.9875776397515477
1973-02-01,773.0,1973,2,851.5833333333334,-5.846528623629721
1973-03-01,883.0,1973,3,851.0,14.230271668822759
1973-04-01,898.0,1973,4,850.8333333333334,1.6987542468856143
1973-05-01,957.0,1973,5,850.5,6.570155902004449
1973-06-01,924.0,1973,6,849.5833333333334,-3.4482758620689613
1973-07-01,881.0,1973,7,848.5,-4.653679653679655
1973-08-01,837.0,1973,8,847.0,-4.994324631101021
1973-09-01,784.0,1973,9,844.9166666666666,-6.332138590203106
1973-10-01,791.0,1973,10,843.3333333333334,0.8928571428571397
1973-11-01,760.0,1973,11,842.8333333333334,-3.9190897597977226
1973-12-01,802.0,1973,12,842.5833333333334,5.52631578947369
1974-01-01,828.0,1974,1,843.1666666666666,3.2418952618453956
1974-02-01,778.0,1974,2,843.5833333333334,-6.038647342995174
1974-03-01,889.0,1974,3,844.0833333333334,14.267352185089965
1974-04-01,902.0,1974,4,844.4166666666666,1.462317210348707
1974-05-01,969.0,1974,5,845.4166666666666,7.427937915742788
1974-06-01,947.0,1974,6,847.3333333333334,-2.270381836945301
1974-07-01,908.0,1974,7,849.5833333333334,-4.118268215417109
1974-08-01,867.0,1974,8,852.0833333333334,-4.515418502202639
1974-09-01,815.0,1974,9,854.6666666666666,-5.9976931949250245
1974-10-01,812.0,1974,10,856.4166666666666,-0.36809815950920033
1974-11-01,773.0,1974,11,857.5,-4.8029556650246334
1974-12-01,813.0,1974,12,858.4166666666666,5.174644243208282
1975-01-01,834.0,1975,1,858.9166666666666,2.583025830258312
1975-02-01,782.0,1975,2,859.25,-6.235011990407669
1975-03-01,892.0,1975,3,859.5,14.066496163682874
1975-04-01,903.0,1975,4,859.5833333333334,1.2331838565022402
1975-05-01,966.0,1975,5,859.3333333333334,6.976744186046502
1975-06-01,937.0,1975,6,858.5,-3.002070393374745
1975-07-01,896.0,1975,7,857.5,-4.375667022411955
1975-08-01,858.0,1975,8,856.75,-4.241071428571431
1975-09-01,817.0,1975,9,856.9166666666666,-4.778554778554778
1975-10-01,827.0,1975,10,858.1666666666666,1.2239902080783294
1975-11-01,797.0,1975,11,860.1666666666666,-3.6275695284159637
1975-12-01,843.0,1975,12,862.6666666666666,5.771643663739012
